Number,Title
2885,Evaluation of radial nerve continuity early after humeral shaft fracture fixation using high-resolution nerve ultrasonography: a pilot study of feasibility:
2886,Evaluation of school-based interventions of active breaks in primary schools: A systematic review and meta-analysis:
2887,Evaluation of soccer players under the Moneyball concept:
2888,Evaluation of the functional movement screen and a novel basketball mobility test as an injury prediction tool for collegiate basketball players:
2889,Evaluation of the Instability Severity Index score in predicting failure following arthroscopic Bankart surgery in an active military population:
2890,Evaluation of the official match external load in soccer players with cerebral palsy:
2891,Evaluation of the spine is critical in the workup of recurrent instability after total hip arthroplasty:
2892,Evaluation of Vitamin E-diffused highly crosslinked polyethylene wear and porous titanium-coated shell stability: A seven-year randomized control trial using radiostereometric analysis:
2893,Evaluation of wrist and hip sedentary behaviour and moderate-to-vigorous physical activity raw acceleration cutpoints in older adults:
2894,Evaporative heat loss insufficient to attain heat balance at rest in individuals with a spinal cord injury at high ambient temperature:
2895,Evening electronic device use and sleep patterns in athletes:
2896,Evidence against a crucial role of renal medullary perfusion in blood pressure control of hypertensive rats:
2897,Evidence for an Upper Threshold for Resistance Training Volume in Trained Women:
2898,Evidence for reliability and validity of functional performance testing in the evaluation of nonarthritic hip pain:
2899,"Evidence of adaptation of maternofetal transport of glutamine relative to placental size in normal mice, and in those with fetal growth restriction:"
2900,Evidence of sex differences in the acute impact of oscillatory shear stress on endothelial function:
2901,Evidence of the exercise-hypogonadal Male condition at the 2011 kona ironman world championships:
2902,Evidence-based algorithm to treat patients with proximal humerus fractures—a prospective study with early clinical and overall performance results:
2903,Evidence-Based Best-Practice Guidelines for Preventing Anterior Cruciate Ligament Injuries in Young Female Athletes: A Systematic Review and Meta-analysis:
2904,Evidence-Based Cognitive Rehabilitation: Systematic Review of the Literature From 2009 Through 2014:
2905,"Evidence-Based Medicine (EBM) is properly perceived but its application is still limited in the orthopedic clinical practice: an online survey among the European Society of Sports Traumatology, Knee Surgery and Arthroscopy (ESSKA) members:"
2906,Evidence-based physiotherapy needs evidence-based marketing:
2907,Evidencing the impact of coaches’ learning: Changes in coaching knowledge and practice over time:
2908,Evolution of nonoperative treatment of atraumatic sternoclavicular dislocation:
2909,Evolution of ventricular hypertrophy and myocardial mechanics in physiological and pathological hypertrophy:
2910,Evolving systems biology approaches to understanding non-coding RNAs in pulmonary hypertension:
2911,Exacerbated heat strain during consecutive days of repeated exercise sessions in heat:
2912,Exaggerated systemic oxidative-inflammatory-nitrosative stress in chronic mountain sickness is associated with cognitive decline and depression:
2913,Examination of the neuromechanical factors contributing to golf swing performance:
2914,Examining accelerometer validity for estimating physical activity in pre-schoolers during free-living activity:
2915,Examining Arm Vascular Function and Blood Flow Regulation in Row-trained Males:
2916,Examining environmental fan engagement initiatives through values and norms with intercollegiate sport fans:
2917,Examining institutional work that perpetuates abuse in sport organizations:
2918,Examining Motor Tasks of Differing Complexity After Concussion in Adolescents:
2919,Examining the acute effects of retrograde versus low mean shear rate on flow-mediated dilation:
2920,Examining the effect of challenge and threat states on endurance exercise capabilities:
2921,Examining the Potency of Subacromial Bursal Cells as a Potential Augmentation for Rotator Cuff Healing: An In Vitro Study:
2922,"Excellent 10-year patient-reported outcomes and survival in a single-radius, cruciate-retaining total knee arthroplasty:"
2923,Excellent clinical outcome and low complication rate after proximal hamstring tendon repair at mid-term follow up:
2924,"Excellent long-term results in combined high tibial osteotomy, anterior cruciate ligament reconstruction and chondral resurfacing in patients with severe osteoarthritis and varus alignment:"
2925,Exendin-4 overcomes cytokine-induced decreases in gap junction coupling via protein kinase A and Epac2 in mouse and human islets:
2926,Exercise – not as hot as you think:
2927,Exercise alone and exercise combined with education both prevent episodes of low back pain and related absenteeism: Systematic review and network meta-analysis of randomised controlled trials (RCTs) aimed at preventing back pain:
2928,Exercise and immune system as modulators of intestinal microbiome: Implications for the gut-muscle axis hypothesis:
2929,Exercise and mitochondrial health:
2930,Exercise and sport science failing by design in understanding female athletes:
2931,"Exercise and the Gut Microbiome: A Review of the Evidence, Potential Mechanisms, and Implications for Human Health:"
2932,Exercise and Vascular Insulin Sensitivity in the Skeletal Muscle and Brain:
2933,Exercise Arrangement Is Associated with Physical and Mental Health in Older Adults:
2934,Exercise Dose and Weight Loss in Adolescents with Overweight–Obesity: A Meta-Regression:
2935,Exercise for preventing falls in older people living in the community: An abridged Cochrane systematic Review:
2936,"Exercise for the prevention and treatment of low back, pelvic girdle and lumbopelvic pain during pregnancy: A systematic review and meta-analysis:"
2937,Exercise Frequency Determines Heart Rate Variability Gains in Older People: A Meta-Analysis and Meta-Regression:
2938,Exercise Guidelines for Cancer Survivors: Consensus Statement from International Multidisciplinary Roundtable:
2939,Exercise Increases Mucosal-associated Invariant T Cell Cytokine Expression but Not Activation or Homing Markers:
2940,Exercise initiated during pregnancy in rats born growth restricted alters placental mTOR and nutrient transporter expression:
2941,Exercise intensity affects acute neurotrophic and neurophysiological responses poststroke:
2942,"Exercise intensity effects on total sweat electrolyte losses and regional vs. whole-body sweat [Na+], [Cl?], and [K+]:"
2943,Exercise intensity independently modulates thermal behavior during exercise recovery but not during exercise:
2944,Exercise Intensity Matters in Chronic Nonspecific Low Back Pain Rehabilitation:
2945,Exercise Interventions for Preventing and Treating Low Bone Mass in the Forearm: A Systematic Review and Meta-analysis:
2946,Exercise measures up to medication as antihypertensive therapy: Its value has long been underestimated:
2947,Exercise Mode Specificity for Preserving Spine and Hip Bone Mineral Density in Prostate Cancer Patients:
2948,Exercise performance increase in smokeless tobacco-user athletes after overnight nicotine abstinence:
2949,Exercise prevents the adverse effects of maternal obesity on placental vascularization and fetal growth:
2950,Exercise Recommendations for Women with Polycystic Ovary Syndrome: Is the Evidence Enough?:
2951,Exercise testing in patients with cystic fibrosis—importance of ventilatory parameters:
2952,Exercise Therapy in Addition to an Orthosis Reduces Pain More Than an Orthosis Alone in Patients With Thumb Base Osteoarthritis: A Propensity Score Matching Study:
2953,"Exercise training and tumour progression: Younger, harder, better, faster and stronger:"
2954,Exercise Training Increases Metaboreflex Control in Patients with Obstructive Sleep Apnea:
2955,Exercise training increases the S-Klotho plasma levels in sedentary middle-aged adults: A randomised controlled trial. The FIT-AGEING study:
2956,Exercise training of mice – a heated topic:
2957,Exercise Training Prevents Doxorubicin-induced Mitochondrial Dysfunction of the Liver:
2958,Exercise training reduces the insulin-sensitizing effect of a single bout of exercise in human skeletal muscle:
2959,Exercise training upregulates Nrf2 protein in the rostral ventrolateral medulla of mice with heart failure:
2960,Exercise training: thinking ahead to counteract systemic manifestations of spinal muscular atrophy:
2961,Exercise treatment effect modifiers in persistent low back pain: An individual participant data meta-analysis of 3514 participants from 27 randomised controlled trials:
2962,Exercise trials for blood pressure control: Keeping it REAL:
2963,Exercise type and activities of daily living disability in older women: An 8-year population-based cohort study:
2964,Exercise with Blood Flow Restriction to Improve Quadriceps Function Long after ACL Reconstruction:
2965,"Exercise, health outcomes, and pædiatric obesity: A systematic review of meta-analyses:"
2966,Exercise-based cardiac rehabilitation is associated with a normalization of the heart rate performance curve deflection:
2967,Exercise-based injury prevention for community-level adolescent cricket pace bowlers: A cluster-randomised controlled trial:
2968,"Exercise-induced arterial hypoxemia; Some answers, more questions:"
2969,Exercise-Induced Changes in Muscle Size do not Contribute to Exercise-Induced Changes in Muscle Strength:
2970,Exercise-induced Changes in Soluble ST2 Concentrations in Marathon Runners:
2971,Exercise-Induced Mitophagy in Skeletal Muscle and Heart:
2972,Exercise-induced muscle damage on the contractile properties of the lumbar paraspinal muscles: a laser displacement mechanomyographic approach:
2973,Exercise-Induced Myofibrillar Hypertrophy is a Contributory Cause of Gains in Muscle Strength:
2974,Exercise-Mobilized Platelet-Rich Plasma: Short-Term Exercise Increases Stem Cell and Platelet Concentrations in Platelet-Rich Plasma:
2975,Exercising caution: is there a role for exercise testing in the hypertrophic cardiomyopathy population?:
2976,Exercising Choice and Control: A Qualitative Meta-synthesis of Perspectives of People With a Spinal Cord Injury:
2977,Exertional heat-stroke preparedness in high school football by region and state mandate presence:
2978,Exit Gluten-Free and Enter Low FODMAPs: A Novel Dietary Strategy to Reduce Gastrointestinal Symptoms in Athletes:
2979,Exogenous Ketone Supplementation and Keto-Adaptation for Endurance Performance: Disentangling the Effects of Two Distinct Metabolic States:
2980,Exogenous neuromodulation of spinal neurons induces beta-band coherence during self-sustained discharge of hind limb motor unit populations:
2981,Exoskeletons for Personal Use After Spinal Cord Injury:
2982,Exoskeletons improve locomotion economy by reducing active muscle volume:
2983,Exosomes Isolated From Adipose-Derived Stem Cells: A New Cell-Free Approach to Prevent the Muscle Degeneration Associated With Torn Rotator Cuffs:
2984,Expansion coding and computation in the cerebellum: 50 years after the Marr–Albus codon theory:
2985,Expectations for Postoperative Improvement in Health-Related Quality of Life in Young Patients with Lumbosacral Spondylolisthesis: A Prospective Cohort Study:
2986,Expectations for Return to Preinjury Sport Before and After Anterior Cruciate Ligament Reconstruction:
2987,Experiences of trans persons in physical activity and sport: A qualitative meta-synthesis:
2988,Experimental knee pain impairs joint torque and rate of force development in isometric and isokinetic muscle activation:
2989,Experimental knee-related pain enhances attentional interference on postural control:
2990,Experimental myofascial trigger point creation in rodents:
2991,Experimental validation of the 3-parameter critical power model in cycling:
2992,Experts’ successful psychomotor performance was characterized by effective switch of motor and attentional control:
2993,Exploring cardiopulmonary interactions during constant-workload submaximal cycle exercise in COPD patients:
2994,Exploring coaches' perceptions of youth sport specialization: A comparison of high school and club sport contexts:
2995,Exploring Game Dynamics in Padel: Implications for Assessment and Training:
2996,Exploring gaze behaviors toward images of physically active individuals with a physical disability:
2997,Exploring how external stakeholders shape social innovation in sport for development and peace:
2998,Exploring referee abuse through the lens of the collegiate rugby coach:
2999,Exploring the cognitive mechanisms of expertise in sport: Progress and prospects:
3000,Exploring the effect of exercise training on testicular function:
3001,Exploring the Efficacy of a Safe Cryotherapy Alternative: Physiological Temperature Changes from Cold-Water Immersion Versus Prolonged Cooling of Phase-Change Material:
3002,Exploring the Justifications for Selecting a Drop Landing Task to Assess Injury Biomechanics: A Narrative Review and Analysis of Landings Performed by Female Netball Players:
3003,Exploring the underlying biology of intrinsic cardiorespiratory fitness through integrative analysis of genomic variants and muscle gene expression profiling:
3004,Exploring the use of think aloud within Women's artistic gymnastics judging education:
3005,"Explosive strength: effect of knee-joint angle on functional, neural, and intrinsic contractile properties:"
3006,Exposure to American Football and Neuropsychiatric Health in Former National Football League Players: Findings From the Football Players Health Study:
3007,Exposure to mild intermittent hypoxia increases loop gain and the arousal threshold in participants with obstructive sleep apnoea:
3008,Expression of concern: Is interval training the magic bullet for fat loss? A systematic review and meta-analysis comparing moderate-intensity continuous training with high-intensity training (HIIT) (Journal of Physical Chemistry (2019) 53 (655-664) DOI: 10.1136/bjsports-2018-099928):
3009,Extended Sleep Maintains Endurance Performance Better than Normal or Restricted Sleep:
3010,Extensive Spinal Fusion Surgery in Patients with Parkinson's Disease or Atypical Parkinsonism: Time Course of Clinical Outcomes in Five Years Progress Report:
3011,Extracorporeal Shockwave Therapy Accelerates the Healing of a Meniscal Tear in the Avascular Region in a Rat Model:
3012,Extraordinary Contributions to Disability and Rehabilitation Research and Unwavering Leadership: A Tribute to Ruth Brannon:
3013,Facilitators to support the implementation of injury prevention training in youth handball: A concept mapping approach:
3014,Factors affecting blood loss and blood transfusion in patients with proximal humeral fractures:
3015,Factors affecting cyclists’ chances of success in match-sprint tournaments:
3016,Factors affecting patient decision-making on surgery for lumbar disc herniation:
3017,Factors affecting sports involvement in a school-based youth cohort: Implications for long-term athletic development:
3018,Factors affecting the anthropometric and physical characteristics of elite academy rugby league players: A multiclub study:
3019,Factors Affecting the Cost and Profitability of Arthroscopic Rotator Cuff Repair:
3020,Factors Associated With a Return to Preinjury Level of Sport Performance After Anterior Cruciate Ligament Reconstruction Surgery:
3021,Factors associated with additional anterior cruciate ligament reconstruction and register comparison: A systematic review on the Scandinavian knee ligament registers:
3022,Factors Associated With an Increased Risk of Recurrence After a First-Time Patellar Dislocation: A Systematic Review and Meta-analysis:
3023,Factors Associated With Clinically Significant Patient-Reported Outcomes After Primary Arthroscopic Partial Meniscectomy:
3024,Factors Associated With Long-Term Improvement of Gait After Selective Dorsal Rhizotomy:
3025,Factors associated with minimal changes in countermovement jump performance throughout a competitive division I collegiate basketball season:
3026,Factors Associated With Participation in Life Situations for Adults With Stroke: A Systematic Review:
3027,Factors Associated With Return-to-Work Following Cervical Spine Surgery in Non-Worker's Compensation Setting:
3028,Factors associated with the magnitude of limitations during recovery from a fracture of the proximal humerus:
3029,Factors contributing to glenoid baseplate micromotion in reverse shoulder arthroplasty: a biomechanical study:
3030,Factors influencing hydration status during a National Collegiate Athletics Association division 1 soccer preseason:
3031,Factors Influencing Osseous Union Following Surgical Treatment of Bone Tumors with Use of the Capanna Technique:
3032,Factors Influencing Resident Satisfaction and Fellowship Selection in Orthopaedic Training Programs: An American Orthopaedic Association North American Traveling Fellowship Project:
3033,Factors Influencing Surgeon's Choice of Procedure for Anterior Shoulder Instability: A Multicenter Prospective Cohort Study:
3034,Factors Influencing the Relationship Between the Functional Movement Screen and Injury Risk in Sporting Populations: A Systematic Review and Meta-analysis:
3035,Factors Predicting Failure Rates and Patient-Reported Outcome Measures After Arthroscopic Meniscal Repair:
3036,Factors Predicting the Outcome After Arthroscopically Assisted Stabilization of Acute High-Grade Acromioclavicular Joint Dislocations:
3037,Factors predictive of Cutibacterium periprosthetic shoulder infections: a retrospective study of 342 prosthetic revisions:
3038,Factors predictive of poorer outcomes in the surgical repair of multiligament knee injuries:
3039,Factors related to average concentric velocity of four barbell exercises at various loads:
3040,Factors Related to Patient Dissatisfaction Versus Objective Failure after Arthroscopic Shoulder Stabilization for Instability:
3041,Factors secreted from high glucose treated endothelial cells impair expansion and differentiation of human skeletal muscle satellite cells:
3042,Factors that affect patient reported outcome after anterior cruciate ligament reconstruction-a systematic review of the Scandinavian knee ligament registers:
3043,Failure of Indomethacin and Radiation to Prevent Blast-induced Heterotopic Ossification in a Sprague-Dawley Rat Model:
3044,Failure of Pelvic Compensation in Patients With Severe Positive Sagittal Imbalance: Comparison Between Static Radiographs and Gait Analysis of Spinopelvic Parameters in Adult Spinal Deformity and Lumbar Stenosis:
3045,False-performance feedback does not affect punching forces and pacing of elite boxers:
3046,Familiarity and complexity of a movement influences motor imagery in dancers: A cross-sectional study:
3047,Familiarization With Airflow-Restriction Mask During Resistance Exercise: Effect on Tolerance and Total Volume:
3048,Family Involvement in Traumatic Brain Injury Inpatient Rehabilitation: A Propensity Score Analysis of Effects on Outcomes During the First Year After Discharge:
3049,Fan empathy as a response to athlete transgressions:
3050,Fan response to the identity threat of potential team relocation:
3051,Fantasy millionaires: Identifying at-risk consumers based on motivation:
3052,Fascia Iliaca Blockade With the Addition of Liposomal Bupivacaine Versus Plain Bupivacaine for Perioperative Pain Management During Hip Arthroscopy: A Double-Blinded Prospective Randomized Control Trial:
3053,"Fast food, fizz, and funding: Balancing the scales of regional sport organisation sponsorship:"
3054,Fast Running Does Not Contribute More to Cumulative Load than Slow Running:
3055,Fast skeletal muscle troponin activator CK-2066260 increases fatigue resistance by reducing the energetic cost of muscle contraction:
3056,"Fast Starters, Slow Starters, and Late Dippers: Trajectories of Patient-Reported Outcomes After Total Hip Arthroplasty: Results from a Dutch Nationwide Database:"
3057,Fastball velocity and elbow-varus torque in professional baseball pitchers:
3058,Faster and slower posttraining recovery in futsal: Multifactorial classification of recovery profiles:
3059,"Faster oxygen uptake, heart rate, and ventilatory kinetics in stepping compared with cycle ergometry in patients with COPD during moderate-intensity exercise:"
3060,Faster union rate and better clinical outcomes using autologous bone graft after medial opening wedge high tibial osteotomy:
3061,"Faster, higher, farther: outpacing age-related motor neuron losses:"
3062,Fasting enhances cold resistance in fish through stimulating lipid catabolism and autophagy:
3063,Fat oxidation at rest and during exercise in male monozygotic twins:
3064,Fat Oxidation Rates in Professional Soccer Players:
3065,Fate Tracing of Isl1 + Cells in Adult Mouse Hearts under Physiological and Exercise Conditions:
3066,Fat-Free Adipose Tissue Mass: Impact on Peak Oxygen Uptake (VO2peak) in Adolescents with and without Obesity:
3067,Fat-free Mass Characteristics of Muscular Physique Athletes:
3068,Fat-free mass index in a diverse sample of Male collegiate athletes:
3069,Fatigue affects quality of movement more in ACL-reconstructed soccer players than in healthy soccer players:
3070,Fatigue in U12 Soccer-7 Players During Repeated 1-Day Tournament Games-A Pilot Study:
3071,Fatigue-independent alterations in muscle activation and effort perception during forearm exercise: Role of local oxygen delivery:
3072,Fatness and fitness in relation to functional movement quality in overweight and obese children:
3073,Fatty vessels shed tonnes on programmed cardiovascular risk:
3074,Favorable outcome of extended curettage for the treatment of unifocal chronic sclerosing osteomyelitis of clavicle: a case series:
3075,Fear avoidance and self-efficacy at 4 weeks after ACL reconstruction are associated with early impairment resolution and readiness for advanced rehabilitation:
3076,"Feasibility of Exercise Testing in Patients Who Are Critically Ill: A Prospective, Observational Multicenter Study:"
3077,Feasibility of single-use 3D-printed instruments for total knee arthroplasty:
3078,Feasibility of the two-point method for assessing the force-velocity relationship during lower-body and upper-body isokinetic tests:
3079,Feasibility of Two High-Intensity Interval Training Protocols in Cancer Survivors:
3080,"Feasibility of using a novel instrumented human head surrogate to measure helmet, head and brain kinematics and intracranial pressure during multidirectional impact tests:"
3081,"Feasibility, acceptability, and potential efficacy of a childcare-based intervention to reduce sitting time among pre-schoolers: A pilot randomised controlled trial:"
3082,Feedforward inhibition ahead of ictal wavefronts is provided by both parvalbumin- and somatostatin-expressing interneurons:
3083,Female athlete triad and relative energy deficiency in sport: A focus on scientific rigor:
3084,"Female Reproductive, Adrenal, and Metabolic Changes during an Antarctic Traverse:"
3085,Female rugby union injuries in New Zealand: A review of five years (2013–2017) of Accident Compensation Corporation moderate to severe claims and costs:
3086,Female Sex and Longer Fusion Constructs Significantly Increase the Risk of Total Hip Arthroplasty Following Spinal Fusion:
3087,Female Soccer Players With Anterior Cruciate Ligament Reconstruction Have a Higher Risk of New Knee Injuries and Quit Soccer to a Higher Degree Than Knee-Healthy Controls:
3088,Femoral Bone Remodeling in Revision Total Hip Arthroplasty with Use of Modular Compared with Monoblock Tapered Fluted Titanium Stems: The Role of Stem Length and Stiffness:
3089,Femoral flexion position is a highly variable factor in total knee arthroplasty: an analysis of 593 conventionally aligned total knee replacements:
3090,Femoral joint line restoration is a major determinant of postoperative range of motion in revision total knee arthroplasty:
3091,Femoral lengthening using the Precice intramedullary limb-lengthening system: Outcome comparison following antegrade and retrograde nails:
3092,Femoral morphology asymmetry in hip dysplasia makes radiological leg length measurement inaccurate:
3093,Femoral nerve block at time of ACL reconstruction causes lasting quadriceps strength deficits and may increase short-term risk of re-injury:
3094,Femoral offset guide facilitates accurate and precise femoral tunnel placement for single-bundle anterior cruciate ligament reconstruction:
3095,"Femoral tunnel length in anatomical single-bundle ACL reconstruction is correlated with height, weight, and knee bony morphology:"
3096,Femoral tunnel widening is similar between anteromedial portal and transtibial techniques following single-bundle anterior cruciate ligament reconstruction: a systematic review and meta-analysis:
3097,Femoral-tibial fixation affects risk of revision and reoperation after anterior cruciate ligament reconstruction using hamstring autograft:
3098,Femoroacetabular Impingement Patients With Decreased Femoral Version Have Different Impingement Locations and Intra- and Extraarticular Anterior Subspine FAI on 3D-CT–Based Impingement Simulation: Implications for Hip Arthroscopy:
3099,Few training sessions between return to play and first match appearance are associated with an increased propensity for injury: A prospective cohort study of male professional football players during 16 consecutive seasons:
3100,Fewer femoral rotational outliers produced with CT- than with MRI-based patient-specific instrumentation in total knee arthroplasty:
3101,Fiber Type Composition and Rate of Force Development in Endurance- and Resistance-Trained Individuals:
3102,Fiber typing human skeletal muscle with fluorescent immunohistochemistry:
3103,Fibre-type-specific and Mitochondrial Biomarkers of Muscle Damage after Mountain Races:
3104,Fibroblast Growth Factor 2 Enhances Tendon-to-Bone Healing in a Rat Rotator Cuff Repair of Chronic Tears:
3105,Fibroblast growth factor 21: an endocrine inhibitor of sugar and alcohol appetite:
3106,Fibroblast Growth Factor 9 Is Upregulated Upon Intervertebral Mechanical Stress-Induced Ligamentum Flavum Hypertrophy in a Rabbit Model:
3107,"Fibromyalgia as a Predictor of Increased Postoperative Complications, Readmission Rates, and Hospital Costs in Patients Undergoing Posterior Lumbar Spine Fusion:"
3108,Fidelity of muscle fibre reinnervation modulates ageing muscle impact in elderly women:
3109,Field Methods to Estimate Fat-free Mass in International Soccer Players:
3110,Fifteen-Year Minimum Follow-Up of Anteromedial Tibial Tubercle Transfer for Lateral and/or Distal Patellofemoral Arthrosis:
3111,Fifth Metatarsal Avulsion Fracture in an Adolescent Tennis Player:
3112,Fight load index and body composition are most associated with combat fitness in female Marines:
3113,"Fight, flight or finished: Forced fitness behaviours in Game of Thrones:"
3114,Financial incentives for physical activity in adults: Systematic review and meta-analysis:
3115,Finding the Optimal Regimen for Oral Tranexamic Acid Administration in Primary Total Hip Arthroplasty: A Randomized Controlled Trial:
3116,Finding the sweet spot via personalised Achilles tendon training: The future is within reach:
3117,Finland's sports physiotherapy conference-athlete training and loading: Helsinki 7-8 June 2019:
3118,First 100 segmental labral reconstructions compared to the most recent 100: the role of surgeon experience in decreasing conversion to total hip arthroplasty:
3119,First clinical experience with a new injectable recombinant human collagen scaffold combined with autologous platelet-rich plasma for the treatment of lateral epicondylar tendinopathy (tennis elbow):
3120,First concussion did not increase the risk of subsequent concussion when patients were managed appropriately:
3121,First Do No Harm: An Opinion on Bundled Care for Stroke Patients:
3122,"First, do ""nothing""... and listen:"
3123,First-Rib Stress Fracture in Overhead Throwing Athletes:
3124,Fitness Characteristics of Elite and Subelite Male Ice Hockey Players: A Cross-Sectional Study:
3125,Fitness Mediates Activity and Sedentary Patterns Associations with Adiposity in Youth:
3126,"Fitness, knee function and competition performance in professional alpine skiers after ACL injury:"
3127,"Fitness, physical activity, working memory, and neuroelectric activity in children with overweight/obesity:"
3128,Five-Year Follow-up of Arthroscopic Superior Capsule Reconstruction for Irreparable Rotator Cuff Tears:
3129,Five-Year Outcomes and Return to Sport of Runners Undergoing Hip Arthroscopy for Labral Tears With or Without Femoroacetabular Impingement:
3130,Five-year Results of a Randomized Controlled Trial for Lumbar Artificial Discs in Single-level Degenerative Disc Disease:
3131,Fixed- Versus Adjustable-Loop Devices for Femoral Fixation in Anterior Cruciate Ligament Reconstruction: A Systematic Review:
3132,Flexed femoral component improves kinematics and biomechanical effect in posterior stabilized total knee arthroplasty:
3133,Flexibility in joint coordination remains unaffected by force and balance demands in young and old adults during simple sit-to-stand tasks:
3134,Flexible learning spaces reduce sedentary time in adolescents:
3135,Flexible reamers create comparable anterior cruciate ligament reconstruction femoral tunnels without the hyperflexion required with rigid reamers: 3D-CT analysis of tunnel morphology in a randomised clinical trial:
3136,Flexor Hallucis Longus Transfer Improves Achilles Tendon Load to Failure in Surgery for Non-Insertional Tendinopathy: A Biomechanical Study:
3137,Flow states in exercise: A systematic review:
3138,"Fluctuation in shear rate, with unaltered mean shear rate, improves brachial artery flow-mediated dilation in healthy, young men:"
3139,Fluid retention after shoulder arthroscopy: gravity flow vs. automated pump—a prospective randomized study:
3140,"Fluid, energy, and nutrient recovery via ad libitum intake of different commercial beverages and food in female athletes:"
3141,Fluorescence in Situ Hybridization (FISH) for the diagnosis of periprosthetic joint infection in formalin-fixed paraffin-embedded surgical tissues:
3142,Fluoroscopic guided tunnel placement during medial patellofemoral ligament reconstruction is not accurate in patients with severe trochlear dysplasia:
3143,Focal neocortical lesions impair distant neuronal information processing:
3144,Focus on Risk Factors for Cardiometabolic Disease in Cerebral Palsy: Toward a Core Set of Outcome Measurement Instruments:
3145,Food for Thought: Basic Nutrition Recommendations for the Mature Brain:
3146,Food-First Approach to Enhance the Regulation of Post-exercise Skeletal Muscle Protein Synthesis and Remodeling:
3147,Foot Angle and Loading Rate during Running Demonstrate a Nonlinear Relationship:
3148,Foot Function Index: A Promising Questionnaire for Individuals With Charcot-Marie-Tooth Disease Type 1A:
3149,Foot loading pattern and hind foot alignment are corrected in varus knees following total knee arthroplasty: a pedobarographic analysis:
3150,Football Compared with Usual Care in Men with Prostate Cancer (FC Prostate Community Trial): A Pragmatic Multicentre Randomized Controlled Trial:
3151,Force awakens: A new hope for athletic shoulder strength testing:
3152,Force Testing of Explanted Magnetically Controlled Growing Rods:
3153,Force–velocity profiling of sprinting athletes: single-run vs. multiple-run methods:
3154,Force-velocity-power profiling during weighted-vest sprinting in soccer:
3155,Forearm wearable resistance effects on sprint kinematics and kinetics:
3156,Forefoot and heel take-off strategies result in different distribution of lower extremity work during landings:
3157,Forefoot running requires shorter gastrocnemius fascicle length than rearfoot running:
3158,Formal and informal work-life balance practices of athletic trainers in collegiate and university settings:
3159,Formative work in the development of a physical activity smartphone app targeted for patients with alcohol use disorders:
3160,Four men in a boat: Ultra-endurance exercise alters the gut microbiome:
3161,Four weeks of exercise early in life reprograms adult skeletal muscle insulin resistance caused by a paternal high-fat diet:
3162,Four Weeks of Finger Grip Training Increases the Rate of Force Development and the Maximal Force in Elite and Top World-Ranking Climbers:
3163,Four weeks of probiotic supplementation reduces GI symptoms during a marathon race:
3164,Four-Meter Gait Speed: Normative Values and Reliability Determined for Adults Participating in the NIH Toolbox Study:
3165,Fragility Fracture Risk in Elderly Patients with Cervical Myelopathy:
3166,Fragility Fractures of the Pelvis Classification: A Multicenter Assessment of the Intra-Rater and Inter-Rater Reliabilities and Percentage of Agreement:
3167,Fragility of randomized clinical trials of treatment of clavicular fractures:
3168,Freeriding—Only a need for thrill?: Comparing different motives and behavioural aspects between slope skiers and freeride skiers:
3169,French-Canadian Adaptation and Validation of the Swiss Spinal Stenosis Questionnaire for Patients with Lumbar Spinal Stenosis:
3170,Frequency and Magnitude of Game-Related Head Impacts in Male Contact Sports Athletes: A Systematic Review and Meta-Analysis:
3171,Frequency of Subspine Impingement in Patients With Femoroacetabular Impingement Evaluated With a 3-Dimensional Dynamic Study:
3172,Frequent sit-to-stand transitions and several short standing periods measured by hip-worn accelerometer are associated with smaller waist circumference among adults:
3173,From ‘De Motu Animalium’ (1680) to ‘De Velocitate Neuron-Motorium’ (2019): towards a better understanding of how the nervous system drives muscles:
3174,From atoms to physiology: what it takes to really understand inflammasomes:
3175,From bench to bedside: Robotics and navigation in orthopaedics-Rise of the machines or just rising costs?:
3176,From Bench to Bedside: Synthesizing Better Replacements and Reconstructions:
3177,"From Bench to Bedside: We Can (Still) Do Better - Moving towards More Thoughtful, ""constructive"" Amputations:"
3178,From cause-related marketing strategy to implementation in professional basketball organizations: a matter of alignment:
3179,From entry to elite: The relative age effect in the Australian football talent pathway:
3180,From guidelines to the sidelines: Implementation of cardiovascular preparticipation evaluation in sports clubs is lagging:
3181,From Hospital to Home to Participation: A Position Paper on Transition Planning Poststroke:
3182,From intention to participation: Exploring the moderating role of a voucher-based event leveraging initiative:
3183,From microscopic to macroscopic sports injuries. Applying the complex dynamic systems approach to sports medicine: a narrative review:
3184,From Paper to Podium: Quantifying the Translational Potential of Performance Nutrition Research:
3185,From the field of play to the laboratory: Recreating the demands of competition with augmented reality simulated sport:
3186,From Total Volume to Sequence Maps: Sophisticated Accelerometer Data Analysis:
3187,Frontal Plane Loading Characteristics of Medial Collateral Ligament Strain Concurrent With Anterior Cruciate Ligament Failure:
3188,Fructose and metabolic health: governed by hepatic glycogen status?:
3189,Fructose co-ingestion to increase carbohydrate availability in athletes:
3190,Fruit-Derived Polyphenol Supplementation for Athlete Recovery and Performance:
3191,Fuel Use during Exercise at Altitude in Women with Glucose-Fructose Ingestion:
3192,Fulfillment of expectations influence patient satisfaction 5 years after total knee arthroplasty:
3193,Full-Endoscopic Visualized Foraminoplasty and Discectomy under General Anesthesia in the Treatment of L4-L5 and L5-S1 Disc Herniation:
